,Facility Id,FRS Id,Facility Name,City,State,Latitude,Longitude,Total reported emissions,CO2 emissions,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,SF6 emissions,Subpart Letter,Name of industry,Facility Type
0,1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,33.29857,-96.53586,325416.25,,325416.25,,,HH,Municipal Landfills,Direct Emitter
1,1004680,110013945062,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,25.83301,-80.3465,56991.75,,56991.75,,,HH,Municipal Landfills,Direct Emitter
2,1012058,110071161547,"A.C.M.S., Inc.",Lake Panasoffkee,FL,28.743151,-82.091653,313745.5,,313745.5,,,HH,Municipal Landfills,Direct Emitter
3,1006529,110013921435,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,30.256038,-92.532637,46562.5,,46562.5,,,HH,Municipal Landfills,Direct Emitter
4,1001991,110071160847,ADRIAN LANDFILL,ADRIAN,MI,41.885177,-84.059029,6471.75,,6471.75,,,HH,Municipal Landfills,Direct Emitter
5,1001633,110009059366,ADS-CEDAR HILL LANDFILL,RAGLAND,AL,33.6845,-86.2525,24218.25,,24218.25,,,HH,Municipal Landfills,Direct Emitter
6,1001636,110013947453,ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,GA,30.81425,-83.35981,118347.0,,118347.0,,,HH,Municipal Landfills,Direct Emitter
7,1006790,110071159539,ADS-STAR RIDGE LANDFILL,MOODY,AL,33.607092,-86.507602,30115.25,,30115.25,,,HH,Municipal Landfills,Direct Emitter
8,1002094,110034159005,ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,IL,40.465534,-89.03273,3525.5,,3525.5,,,HH,Municipal Landfills,Direct Emitter
9,1006979,110017987589,ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,MO,38.556639,-90.527306,4912.25,,4912.25,,,HH,Municipal Landfills,Direct Emitter
10,1006088,110006219733,AKRON REGIONAL LANDFILL *,AKRON,OH,41.151282,-81.559298,1669.25,,1669.25,,,HH,Municipal Landfills,Direct Emitter
11,1006276,110037939737,ALBANY LANDFILL,ALBANY,NY,42.70324,-73.84958,51551.75,,51551.75,,,HH,Municipal Landfills,Direct Emitter
